Time,Name,Latitude,Longitude,Temperature,Precipitation,WindSpeed,WindDirection
2025-08-01 09:00:00,札幌,43.0642,141.3469,22.4,0.0,3.2,270
2025-08-01 09:00:00,仙台,38.2682,140.8694,25.1,0.0,4.5,250
2025-08-01 09:00:00,東京,35.6895,139.6917,29.3,1.5,5.8,220
2025-08-01 09:00:00,名古屋,35.1815,136.9066,31.0,0.0,3.9,240
2025-08-01 09:00:00,大阪,34.6937,135.5023,32.5,0.0,4.2,230
2025-08-01 09:00:00,広島,34.3853,132.4553,30.4,0.2,3.5,210
2025-08-01 09:00:00,福岡,33.5902,130.4017,31.7,4.5,6.1,200
2025-08-01 09:00:00,那覇,26.2124,127.6792,33.1,12.0,8.3,180

2025-08-01 10:00:00,札幌,43.0642,141.3469,23.0,0.0,3.5,280
2025-08-01 10:00:00,仙台,38.2682,140.8694,25.8,0.0,4.8,255
2025-08-01 10:00:00,東京,35.6895,139.6917,30.1,2.0,6.2,225
2025-08-01 10:00:00,名古屋,35.1815,136.9066,31.8,0.0,4.0,240
2025-08-01 10:00:00,大阪,34.6937,135.5023,33.0,0.0,4.4,235
2025-08-01 10:00:00,広島,34.3853,132.4553,31.0,0.5,3.8,215
2025-08-01 10:00:00,福岡,33.5902,130.4017,32.2,5.5,6.5,205
2025-08-01 10:00:00,那覇,26.2124,127.6792,33.5,14.0,9.0,185
